PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/destination-address,leaf,read,string,oc-inet:ipv6-prefix,,,"Destination IPv6 address represented as a prefix and mask length, or an address and 128-bit mask."
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/destination-address-prefix-set,leafref,read,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/destination-flow-label,,not-supported,,,,,IPv6 Destination Flow Label is not supported in EOS
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/dscp,leaf,read,uint8,oc-inet:dscp,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/dscp-set,leaf-list,read,uint8,openconfig-inet-types:dscp,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/hop-limit,leaf,read,uint8,,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/length,leaf,read,uint16,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/protocol,leaf,read,union,oc-pkt-match-types:ip-protocol-type,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/source-address,leaf,read,string,oc-inet:ipv6-prefix,,,"Source IPv6 address represented as a prefix and mask length, or an address and 128-bit mask."
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/source-address-prefix-set,leafref,read,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/state/source-flow-label,,not-supported,,,,,IPv6 Source Flow Label is not supported in EOS
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/icmpv6/config/code,leaf,read+write,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/icmpv6/config/type,leaf,read+write,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/icmpv6/state/code,leaf,read,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/ipv6/icmpv6/state/type,leaf,read,identityref,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/config/destination-mac,leaf,read+write,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/config/destination-mac-mask,leaf,read+write,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/config/ethertype,leaf,read+write,union,oc-pkt-match-types:ethertype-type,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/config/source-mac,leaf,read+write,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/config/source-mac-mask,leaf,read+write,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/state/destination-mac,leaf,read,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/state/destination-mac-mask,leaf,read,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/state/ethertype,leaf,read,union,oc-pkt-match-types:ethertype-type,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/state/source-mac,leaf,read,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/l2/state/source-mac-mask,leaf,read,string,oc-yang:mac-address,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/builtin-detail,leaf,read+write,enumeration,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/destination-port,leaf,read+write,union,oc-pkt-match-types:port-num-range,,,
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/destination-port-list,leaf-list,read+write,union,openconfig-packet-match-types:port-num-range,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/destination-port-set,leafref,read+write,string,,,,The leafref type is not supported. Workaround is to set to same type as leafref.
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/detail-mode,leaf,read+write,enumeration,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/explicit-detail-match-mode,leaf,read+write,enumeration,,,,gNMI-only access
acl/acl-sets/acl-set/acl-entries/acl-entry/transport/config/explicit-tcp-flags,leaf-list,read+write,identityref,,,,
