PATH,NODE,ACCESS,BUILT-IN-TYPE,DERIVED-TYPE,AUGMENT,CONSTRAINTS,NOTES
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/config/ip-address,leaf,read+write,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/config/next-hop-network-instance,leaf,read+write,string,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/config/payload-type,leaf,read+write,identityref,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/state/access-list-bypass,leaf,read,boolean,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/state/index,leaf,read,uint32,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/state/interface,leafref,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/state/ip-address,leaf,read,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/state/next-hop-network-instance,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/egress/lsp-next-hops/lsp-next-hop/state/payload-type,leaf,read,identityref,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/config/incoming-label,leaf,read+write,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/config/metric,leaf,read+write,uint8,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/state/incoming-label,leaf,read,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/state/metric,leaf,read,uint8,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/index,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/config/index,leaf,read+write,uint32,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/config/interface,leafref,read+write,string,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/config/ip-address,leaf,read+write,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/config/push-label,leaf,read+write,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/state/index,leaf,read,uint32,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/state/interface,leafref,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/state/ip-address,leaf,read,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/lsps/static-lsps/static-lsp/transit/lsp-next-hops/lsp-next-hop/state/push-label,leaf,read,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/hellos/config/hello-interval,leaf,read+write,uint16,,,,"EOS hello interval is set to 0 to represent Hellos disable, default range does not allow such values"
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/hellos/config/refresh-reduction,leaf,read+write,boolean,,,,
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/hellos/state/hello-interval,leaf,read,uint16,,,,"EOS hello interval is set to 0 to represent Hellos disable, default range does not allow such values"
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/hellos/state/refresh-reduction,leaf,read,boolean,,,,
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/soft-preemption/config/enable,leaf,read+write,boolean,,,,
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/soft-preemption/config/soft-preemption-timeout,leaf,read+write,uint16,,,,
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/soft-preemption/state/enable,leaf,read,boolean,,,,
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/global/soft-preemption/state/soft-preemption-timeout,leaf,read,uint16,,,,
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/interface-id,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/interface-id,leaf,read,string,openconfig-interfaces:interface-id,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-ack-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-hello-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-path-error-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-path-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-path-tear-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-reservation-error-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-reservation-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-reservation-tear-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/in-srefresh-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-ack-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-hello-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-path-error-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-path-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-path-tear-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-reservation-error-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-reservation-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-reservation-tear-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/state/counters/out-srefresh-messages,leaf,read,uint64,openconfig-yang-types:counter64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/bandwidth-reservations/bandwidth-reservation/priority,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/bandwidth-reservations/bandwidth-reservation/state/active-reservations-count,leaf,read,uint64,openconfig-yang-types:gauge64,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/bandwidth-reservations/bandwidth-reservation/state/available-bandwidth,leaf,read,uint64,openconfig-mpls-types:bandwidth-mbps,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/bandwidth-reservations/bandwidth-reservation/state/highwater-mark,leaf,read,uint64,openconfig-mpls-types:bandwidth-mbps,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/bandwidth-reservations/bandwidth-reservation/state/priority,leaf,read,union,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/interface-attributes/interface/bandwidth-reservations/bandwidth-reservation/state/reserved-bandwidth,leaf,read,uint64,openconfig-mpls-types:bandwidth-mbps,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/local-index,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/destination-address,leaf,read,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/label-in,leaf,read,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/label-out,leaf,read,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/local-index,leaf,read,uint64,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/lsp-id,leaf,read,uint16,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/protection-requested,leaf,read,identityref,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/session-name,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/source-address,leaf,read,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/status,leaf,read,enumeration,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/tunnel-id,leaf,read,uint16,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/type,leaf,read,identityref,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/state/sender-tspec/rate,leaf,read,binary,openconfig-types:ieeefloat32,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/explicit-route-objects/explicit-route-object/index,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/explicit-route-objects/explicit-route-object/state/asn,leaf,read,uint32,openconfig-inet-types:as-number,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/explicit-route-objects/explicit-route-object/state/index,leaf,read,uint64,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/explicit-route-objects/explicit-route-object/state/ip-prefix,leaf,read,union,openconfig-inet-types:ip-prefix,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/explicit-route-objects/explicit-route-object/state/loose,leaf,read,boolean,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/explicit-route-objects/explicit-route-object/state/type,leaf,read,enumeration,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/record-route-objects/record-route-object/index,leaf,read,string,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/record-route-objects/record-route-object/state/address,leaf,read,union,openconfig-inet-types:ip-address,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/record-route-objects/record-route-object/state/index,leaf,read,uint8,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/record-route-objects/record-route-object/state/reported-flags,leaf,read,uint8,,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/rsvp-te/sessions/session/record-route-objects/record-route-object/state/reported-label,leaf,read,union,openconfig-mpls-types:mpls-label,,,gNMI-only access
network-instances/network-instance/mpls/signaling-protocols/segment-routing/aggregate-sid-counters/aggregate-sid-counter/mpls-label,leafref,read,union,oc-mplst:mpls-label,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/aggregate-sid-counters/aggregate-sid-counter/state/in-octets,leaf,read,uint64,yang:counter64,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/aggregate-sid-counters/aggregate-sid-counter/state/in-pkts,leaf,read,uint64,yang:counter64,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/aggregate-sid-counters/aggregate-sid-counter/state/mpls-label,leaf,read,union,oc-mplst:mpls-label,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/aggregate-sid-counters/aggregate-sid-counter/state/out-octets,,not-supported,,,,,aggregate out-octets per label is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/aggregate-sid-counters/aggregate-sid-counter/state/out-pkts,,not-supported,,,,,aggregate out-pkts per label is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/interface-id,leafref,read,string,oc-if:interface-id,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/config/interface-id,leaf,read,string,oc-if:interface-id,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/state/in-octets,leaf,read,uint64,yang:counter64,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/state/in-pkts,leaf,read,uint64,yang:counter64,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/state/interface-id,leaf,read,string,oc-if:interface-id,,,
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/state/out-octets,,not-supported,,,,,aggregate out-octets per interface is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/state/out-pkts,,not-supported,,,,,aggregate out-pkts per interface is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/state/in-octets,,not-supported,,,,,in-octets per interface per label is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/state/in-pkts,,not-supported,,,,,in-pkts per interface per label is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/state/out-octets,,not-supported,,,,,out-octets per interface per label is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/state/out-pkts,,not-supported,,,,,out-pkts per interface per label is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/forwarding-classes/forwarding-class/state/in-octets,,not-supported,,,,,in-octets per interface per label per forwarding-class is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/forwarding-classes/forwarding-class/state/in-pkts,,not-supported,,,,,in-pkts per interface per label per forwarding-class is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/forwarding-classes/forwarding-class/state/out-octets,,not-supported,,,,,out-octets per interface per label per forwarding-class is not supported in EOS
network-instances/network-instance/mpls/signaling-protocols/segment-routing/interfaces/interface/sid-counters/sid-counter/forwarding-classes/forwarding-class/state/out-pkts,,not-supported,,,,,out-pkts per interface per label per forwarding-class is not supported in EOS
network-instances/network-instance/mpls/te-global-attributes/te-lsp-timers,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/color,leafref,read+write,uint32,,,,
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/config/color,leaf,read+write,uint32,,,,
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/config/default-color,leaf,read+write,boolean,,,,
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/config/dscps,leaf-list,read+write,uint8,oc-inet:dscp,,,
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/state/color,leaf,read,uint32,,,,
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/state/default-color,leaf,read,boolean,,,,
network-instances/network-instance/mpls/te-global-attributes/color-dscp-mappings/color-dscp-mapping/state/dscps,leaf-list,read,uint8,oc-inet:dscp,,,
network-instances/network-instance/mpls/te-global-attributes/mpls-admin-groups/admin-group/admin-group-name,leafref,read+write,string,,,,
network-instances/network-instance/mpls/te-global-attributes/mpls-admin-groups/admin-group/config/admin-group-name,leaf,read+write,string,,,,
network-instances/network-instance/mpls/te-global-attributes/mpls-admin-groups/admin-group/config/bit-position,leaf,read+write,uint32,,,,
network-instances/network-instance/mpls/te-global-attributes/mpls-admin-groups/admin-group/state/admin-group-name,leaf,read,string,,,,
network-instances/network-instance/mpls/te-global-attributes/mpls-admin-groups/admin-group/state/bit-position,leaf,read,uint32,,,,
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/name,leafref,read+write,string,,,,
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/static-srlg-members,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/config/cost,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/config/flooding-type,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/config/name,leaf,read+write,string,,,,
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/config/value,leaf,read+write,uint32,,,,
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/state/cost,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/state/flooding-type,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/state/name,leaf,read,string,,,,
network-instances/network-instance/mpls/te-global-attributes/srlgs/srlg/state/value,leaf,read,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/interface-id,leafref,read+write,string,oc-if:interface-id,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/config/admin-group-membership,leaf,read+write,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/config/interface-id,leaf,read+write,string,oc-if:interface-id,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/config/latency,leaf,read+write,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/config/srlg-id-membership,leaf-list,read+write,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/config/srlg-membership,leaf-list,read+write,string,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/state/admin-group-membership,leaf,read,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/state/interface-id,leaf,read,string,oc-if:interface-id,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/state/latency,leaf,read,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/state/srlg-id-membership,leaf-list,read,uint32,,,,
network-instances/network-instance/mpls/te-interface-attributes/interface/state/srlg-membership,leaf-list,read,string,,,,
network-instances/network-instance/policy-forwarding/path-selection-groups,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/interfaces/interface/interface-id,leafref,read+write,string,oc-if:interface-id,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/config/apply-forwarding-policy,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/interfaces/interface/config/apply-vrf-selection-policy,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/config/interface-id,leaf,read+write,string,oc-if:interface-id,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/state/apply-forwarding-policy,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/interfaces/interface/state/apply-vrf-selection-policy,leafref,read,string,,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/state/interface-id,leaf,read,string,oc-if:interface-id,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/interface-ref/config/interface,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/interface-ref/config/subinterface,leafref,read+write,uint32,,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/interface-ref/state/interface,leafref,read,string,,,,
network-instances/network-instance/policy-forwarding/interfaces/interface/interface-ref/state/subinterface,leafref,read,uint32,,,,
network-instances/network-instance/policy-forwarding/policies/policy,list,,,,augmented,,Add policy and segment list counters.
network-instances/network-instance/policy-forwarding/policies/policy/policy-id,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/config/policy-id,leaf,read+write,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/config/type,leaf,read+write,enumeration,oc-pf:enumeration,,,
network-instances/network-instance/policy-forwarding/policies/policy/state/policy-id,leaf,read,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/state/type,leaf,read,enumeration,oc-pf:enumeration,,,
network-instances/network-instance/policy-forwarding/policies/policy/policy-counters/state/out-octets,leaf,read,uint64,oc-yang:counter64,,,
network-instances/network-instance/policy-forwarding/policies/policy/policy-counters/state/out-pkts,leaf,read,uint64,oc-yang:counter64,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/l2,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/sequence-id,leafref,read+write,uint32,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/transport,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/config/sequence-id,leaf,read+write,uint32,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/state/matched-octets,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/state/matched-pkts,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/state/sequence-id,leaf,read,uint32,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/encapsulate-gre,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/decap-fallback-network-instance,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/decap-network-instance,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/decapsulate-gre,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/decapsulate-gue,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/decapsulate-mpls-in-udp,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/discard,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/network-instance,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/next-hop,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/path-selection-group,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/config/post-decap-network-instance,leafref,read+write,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/decap-fallback-network-instance,leafref,read,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/decap-network-instance,leafref,read,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/decapsulate-gre,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/decapsulate-gue,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/decapsulate-mpls-in-udp,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/discard,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/network-instance,leafref,read,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/next-hop,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/path-selection-group,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/state/post-decap-network-instance,leafref,read,string,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/index,leafref,read+write,uint64,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/config/index,leaf,read+write,uint64,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/config/weight,leaf,read+write,uint32,,,,"Weight of segment-list is range restricted in EOS, default is 1"
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/state/index,leaf,read,uint64,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/state/weight,leaf,read,uint32,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/index,leafref,read+write,uint64,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/config/index,leaf,read+write,uint64,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/config/mpls-tc,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/config/mpls-ttl,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/config/value,leaf,read+write,union,oc-srt:sr-sid-type,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/state/index,leaf,read,uint64,,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/state/mpls-tc,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/state/mpls-ttl,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/action/segment-lists/segment-list/sids/sid/state/value,leaf,read,union,oc-srt:sr-sid-type,,,
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/ipv4/icmpv4,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/ipv4/config/destination-address,,not-supported,,,,,Not-supported deviation.
network-instances/network-instance/policy-forwarding/policies/policy/rules/rule/ipv4/config/destination-address-prefix-set,,not-supported,,,,,Not-supported deviation.
